SL.NO,COUNTRY,TOTAL CASES,NEW CASES,TOTAL DEATHS,NEW DEATHS,TOTAL RECOVERED,NEW RECOVERED,ACTIVE CASES,CRITICAL CASES,CASES/MILLION,DEATHS/MILLION,TOTAL TESTS,TESTS/MILLION,POPULATION,CONTINENT
43,Panama,"348,580",0,"6,009 ",0,"337,010",0,"5,561",111,"79,904","1,377","2,030,053","465,341","4,362,510 ",North America
44,Slovakia,"342,430","+2,892","8,738 ",+69,"255,300",0,"78,392",706,"62,699","1,600","2,224,801","407,360","5,461,514 ",Europe
45,Malaysia,"327,253","+1,219","1,220 ",+2,"310,958","+1,346","15,075",154,"10,021",37,"6,971,371","213,467","32,657,896 ",Asia
46,Belarus,"305,270","+1,124","2,121 ",+9,"296,183","+1,305","6,966",0,"32,314",225,"5,139,195","543,996","9,447,122 ",Europe
47,Ecuador,"302,854",0,"16,259 ",0,"263,164",0,"23,431",523,"16,984",912,"1,072,411","60,142","17,831,420 ",South America
48,Bulgaria,"287,568",0,"11,579 ",0,"228,816",0,"47,173",612,"41,608","1,675","1,879,949","272,011","6,911,309 ",Europe
49,Georgia,"276,067",+382,"3,665 ",+7,"269,006",+313,"3,396",0,"69,298",920,"3,063,282","768,946","3,983,742 ",Asia
50,Nepal,"275,518",+94,"3,014 ",0,"271,550",+55,954,0,"9,338",102,"2,224,293","75,388","29,504,765 ",Asia
51,Bolivia,"260,988",+929,"11,997 ",+23,"206,586",+958,"42,405",71,"22,146","1,018","817,095","69,333","11,785,058 ",South America
52,Croatia,"253,310","+1,445","5,709 ",+12,"242,111",+418,"5,490",84,"61,975","1,397","1,447,365","354,113","4,087,302 ",Europe
53,Dominican Republic,"247,364",+570,"3,248 ",+11,"203,656",+586,"40,460",164,"22,643",297,"1,263,135","115,623","10,924,582 ",North America
54,Tunisia,"242,673",0,"8,429 ",0,"209,755",0,"24,489",276,"20,383",708,"1,042,241","87,541","11,905,764 ",Africa
55,Azerbaijan,"242,491",+840,"3,307 ",+9,"231,638",+268,"7,546",0,"23,765",324,"2,736,493","268,188","10,203,619 ",Asia
56,Ireland,"227,663",0,"4,552 ",0,"23,364",0,"199,747",88,"45,746",915,"3,746,076","752,732","4,976,641 ",Europe
